cls,band,cv,reliability
Water,B2,0.03684203019294797,0.9644670749062015
Water,B3,0.03169956287668832,0.9692744244377691
Water,B4,0.03971998388331194,0.9617974219030018
Water,B8,0.03135714456621999,0.9695962308193361
Unmade_road,B2,0.08535327751874061,0.9213589903981592
Unmade_road,B3,0.08419575070572818,0.9223426667638909
Unmade_road,B4,0.07828453009945967,0.927399004702183
Unmade_road,B8,0.11877471954155838,0.8938349987116003
House,B2,0.08239984030938093,0.9238730113949124
House,B3,0.06834491238997169,0.936027296430814
House,B4,0.07354262265813782,0.9314953862977112
House,B8,0.048852236560752965,0.9534231468858357
Trees,B2,0.039814303047445626,0.9617101794707387
Trees,B3,0.0506632522272989,0.9517797428244511
Trees,B4,0.04582742329245008,0.9561807022154982
Trees,B8,0.2216669884638851,0.8185536725170847
